"Product","Package ID","Batch","Strain","Vendor","Date of manufacture","Brand","Harvest date","Producer"
DTF Premium Preroll 1g - Fresh Fritter,55576,FrFr-231116.0001-W46,Fresh Fritter,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,DTF - Downtown Flower,11/16/2023,
DTF Premium Preroll 1g - Wedding Cake,55574,WeCa-231116.0001-W46,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",2/6/2024,DTF - Downtown Flower,11/16/2023,
Cherry Treat 3.5g - Signature,55542,ChryTrt-231130.0001-W48,Cherry Treat,,,DTF - Downtown Flower,11/30/2023,
Roaring 20s REBALANCE 6 Pack Prerolls 3g - Mendo Dosi,55513,323s-231116.0001-W46,Mendo Dosi,,,Roaring 20s,11/16/2023,
Roaring 20s REBALANCE 6 Pack Prerolls 3g - Blue Dream,55543,BLDR-231130.0001-W48,Blue Dream,,,Roaring 20s,11/30/2023,
Kosher Kush 3.5g - Signature,55538,235-231130.0001-W48,Kosher Kush,,,DTF - Downtown Flower,11/30/2023,
Mellow Squirt 3.5g - Signature,55551,MSQ-231031.0001-W44,Mellow Squirt,"Forever 46, LLC - 00000057DCHF00477864",2/5/2024,DTF - Downtown Flower,10/31/2023,
Gastropop 3.5g - Signature,55546,324s-231130.0001-W48,Gastropop,"Forever 46, LLC - 00000057DCHF00477864",2/5/2024,DTF - Downtown Flower,11/30/2023,
Roaring 20s REBALANCE 6 Pack Prerolls 3g - Blue Dream,55543,BLDR-231130.0001-W48,Blue Dream,"Forever 46, LLC - 00000057DCHF00477864",2/5/2024,Roaring 20s,11/30/2023,
Cherry Treat 3.5g - Signature,55542,ChryTrt-231130.0001-W48,Cherry Treat,"Forever 46, LLC - 00000057DCHF00477864",2/5/2024,DTF - Downtown Flower,11/30/2023,
Kosher Kush 3.5g - Signature,55538,235-231130.0001-W48,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",2/2/2024,DTF - Downtown Flower,11/30/2023,
Roaring 20s REBALANCE 6 Pack Prerolls 3g - Mendo Dosi,55513,323s-231116.0001-W46,Mendo Dosi,"Forever 46, LLC - 00000057DCHF00477864",2/2/2024,Roaring 20s,11/16/2023,
Blue Dream X 3.5g,55438,BlDX-231130.0001-W48,Blue Dream X,,,GRÄS Cannabis,11/30/2023,
Blue Dream X 3.5g,55438,BlDX-231130.0001-W48,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",2/1/2024,GRÄS Cannabis,11/30/2023,
Blue Dream X 3.5g,55210,BlDX-231130.0001-W48,Blue Dream X,,,GRÄS Cannabis,11/30/2023,
Forest Fire 3.5g,55353,FoFi-231116.0001-W46,Forest Fire,,,GRÄS Cannabis,11/16/2023,
Blue Dream 14g - Mid,55116,BLDR-231130.0001-W48,Blue Dream,,,DTF - Downtown Flower,11/30/2023,
