"Product","Package ID","Batch","Strain","Vendor","Date of manufacture","Brand","Harvest date","Producer"
Entourage Night Gummies 100mg - Wildberry,11886,220217-001-WB,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",6/7/2022,iLAVA,2/16/2022,
zenzona Vegan Gummies Wildberry 100mg - Indica,19623,220519-001-ZWB,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/24/2022,ZENZONA,5/18/2022,
ClearGold Cartridge 1000mg - Mai Tai,19621,220621-005CG,Mai Tai,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/30/2022,iLAVA,6/20/2022,
ClearGold Cartridge 500mg - Mai Tai,19620,220621-005CG,Mai Tai,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/30/2022,iLAVA,6/20/2022,
ClearGold Cartridge 1000mg - GG4,19616,220330-002CG,GG4,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/30/2022,iLAVA,3/29/2022,
ClearGold Cartridge 500mg - GG4,19615,220330-002CG,GG4,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/30/2022,iLAVA,3/29/2022,
zenzona Vegan Gummies 1:1 (100mg CBD/100mg THC) Cherry - Hybrid,19613,220519-001-CH,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",8/24/2022,ZENZONA,5/18/2022,
ClearGold Cartridge 1000mg - Cotton Candy Kush,19614,220621-005CG,Cotton Candy Kush,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",6/20/2022,iLAVA,6/20/2022,
ClearGold Cartridge 500mg - Cotton Candy Kush,19612,220621-005CG,Cotton Candy Kush,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",6/20/2022,iLAVA,6/20/2022,
ClearGold Cartridge 1000mg - Maui Wowie,19611,220607-001CG,Maui Wowie,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/15/2022,iLAVA,6/6/2022,
ClearGold Cartridge 500mg - Maui Wowie,19610,220607-001CG,Maui Wowie,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/15/2022,iLAVA,6/6/2022,
ClearGold Cartridge 1000mg - Green Crack,19595,220607-001CG,Green Crack,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/15/2022,iLAVA,6/6/2022,
ClearGold Cartridge 500mg - Green Crack,19594,220607-001CG,Green Crack,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/15/2022,iLAVA,6/6/2022,
ClearGold Cartridge 1000mg - Jack Herer,19593,220607-001CG,Jack Herer,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/15/2022,iLAVA,6/6/2022,
ClearGold Cartridge 500mg - Jack Herer,19592,220607-001CG,Jack Herer,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/15/2022,iLAVA,6/6/2022,
ClearGold Cartridge 1000mg - Tropicana Cookies,19591,220607-001CG,Tropicana Cookies,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/15/2022,iLAVA,6/6/2022,
zenzona Vegan Gummies Watermelon 100mg - Indica,19590,220401-002-ZWA,Hybrid Blend,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/23/2022,ZENZONA,3/31/2022,
ClearGold Cartridge 500mg - Tropicana Cookies,19589,220607-001CG,Tropicana Cookies,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/15/2022,iLAVA,6/6/2022,
Elemental Dablicator 1000mg - Candyland,19582,DABCL-220803-004,Candyland,"Forever 46, LLC - 00000057DCHF00477864",8/29/2022,iLAVA,8/2/2022,
ClearGold Cartridge 500mg - Strawnana,19545,220602-001CG,Strawnana,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/29/2022,iLAVA,6/1/2022,
zenzona Vegan Gummies 2:1 (100mg THC/50mg CBD) Blueberry - Indica,19498,220519-001-BB,Hybrid Blend,,8/23/2022,ZENZONA,5/18/2022,
ClearGold Cartridge 1000mg - Durban Poison,19489,220607-001CG,Durban Poison,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/29/2022,iLAVA,6/6/2022,
ClearGold Cartridge 500mg - Durban Poison,19474,220607-001CG,Durban Poison,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/29/2022,iLAVA,6/6/2022,
Jenny Kush 28g - Value,19452,0322JNYK.42.WT,Jenny Kush,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/29/2022,Copperstate,5/2/2022,
Indica PM Chocolates Dark 150mg,19451,220217-001,Hybrid Blend,,8/28/2022,INDICA PM,1/6/2022,
Garlic Kush 28g - Value,19319,0322GRLK.42.WT,Garlic Kush,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/28/2022,Copperstate,4/27/2022,
ClearGold Cartridge 500mg - Blue Dream,19316,220607-001CG,Blue Dream,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/28/2022,iLAVA,6/6/2022,
Gummiez 28g - Value,19315,0422GUMZ.41,Gummiez,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/28/2022,Copperstate,5/12/2022,
ClearGold Cartridge 1000mg - Granddaddy Purple,19313,220607-001CG,Granddaddy Purple,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/28/2022,iLAVA,6/6/2022,
ClearGold Cartridge 500mg - Granddaddy Purple,19311,220607-001CG,Granddaddy Purple,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/28/2022,iLAVA,6/6/2022,
ClearGold Cartridge 1000mg - Afghani,19294,220607-001CG,Afghani,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/28/2022,iLAVA,6/6/2022,
ClearGold Cartridge 500mg - Afghani,19290,220607-001CG,Afghani,"Forever 46, LLC DBA: The Downtown Dispensary - Med (CULT)",8/28/2022,iLAVA,6/6/2022,
